usage_id,account_id,subscription_key,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-f7fde8,A-00bed1,S-289702,2024-03-27,feature_35,8,1832,0,false
U-c7b4be,A-00bed1,S-289702,2024-06-19,feature_28,8,2440,3,false
U-7765ff,A-00bed1,S-3fbf9e,2024-09-06,feature_39,10,1500,0,false
U-0edd6b,A-00bed1,S-3fbf9e,2024-07-22,feature_2,9,4635,0,false
U-6933d4,A-00bed1,S-3fbf9e,2024-05-10,feature_33,6,2022,2,false
U-48f373,A-00bed1,S-3fbf9e,2024-09-09,feature_14,12,4668,0,false
U-7d0a16,A-00bed1,S-4a724b,2024-07-22,feature_28,5,2150,4,false
U-12364a,A-00bed1,S-4a724b,2024-08-28,feature_17,11,814,0,false
U-6f21e2,A-00bed1,S-4a724b,2024-07-11,feature_31,8,2456,0,false
U-7682b2,A-00bed1,S-585d4c,2023-12-20,feature_40,8,1496,0,false
U-dafe49,A-00bed1,S-585d4c,2024-04-29,feature_24,11,5962,1,false
U-5df018,A-00bed1,S-585d4c,2024-04-25,feature_4,6,2082,1,false
U-266aec,A-00bed1,S-585d4c,2023-12-10,feature_24,11,2002,0,false
U-af6c21,A-00bed1,S-585d4c,2024-07-20,feature_1,16,4448,2,true
U-9e7fff,A-00bed1,S-64fba3,2024-09-28,feature_2,11,1111,0,false
U-d72fbe,A-00bed1,S-64fba3,2024-03-01,feature_6,13,7384,0,false
U-7a436e,A-00bed1,S-64fba3,2023-12-11,feature_37,9,1521,0,false
U-705b2c,A-00bed1,S-64fba3,2024-07-25,feature_32,10,4340,0,false
U-1a8771,A-00bed1,S-64fba3,2024-04-08,feature_37,13,4277,0,false
U-c85d35,A-00bed1,S-76a214,2024-11-01,feature_21,9,1143,3,false
U-338e55,A-00bed1,S-76a214,2024-12-14,feature_33,13,1170,0,false
U-9e00b7,A-00bed1,S-7f9ce5,2024-11-20,feature_40,9,3222,1,false
U-9dd314,A-00bed1,S-7f9ce5,2024-04-17,feature_31,10,3670,1,false
U-1192d4,A-00bed1,S-7f9ce5,2024-01-23,feature_7,9,927,1,false
U-69a6be,A-00bed1,S-a7360b,2024-10-17,feature_10,14,6706,0,false
U-0247f6,A-00bed1,S-a7360b,2024-04-03,feature_31,9,4203,0,false
U-675efa,A-00bed1,S-a7360b,2024-02-26,feature_22,12,4068,0,false
U-f4f2e7,A-00bed1,S-a86344,2024-08-30,feature_16,8,200,0,false
U-0caad1,A-00bed1,S-a86344,2024-01-29,feature_21,12,6180,0,false
U-c5f0ce,A-00bed1,S-a86344,2024-10-10,feature_33,7,273,0,false
U-bdde15,A-00bed1,S-f3dd83,2024-03-24,feature_11,9,3933,0,false
U-a8e926,A-00bed1,S-f3dd83,2023-11-22,feature_14,7,462,0,false
U-1f0018,A-00cac8,S-0bdbb3,2023-11-17,feature_28,10,5790,0,false
U-fc82c9,A-00cac8,S-0bdbb3,2024-12-24,feature_11,13,2015,0,false
U-c658c0,A-00cac8,S-0bdbb3,2023-10-08,feature_35,5,1685,0,false
U-9aa452,A-00cac8,S-0bdbb3,2024-10-04,feature_26,9,1701,0,false
U-aab172,A-00cac8,S-0bdbb3,2024-09-06,feature_6,14,7448,0,false
U-fcbbeb,A-00cac8,S-138c41,2024-01-11,feature_27,10,3220,0,false
U-0eae0d,A-00cac8,S-138c41,2024-04-29,feature_34,13,3679,3,false
U-704fcc,A-00cac8,S-138c41,2024-03-10,feature_5,17,1955,0,false
U-e8d7f1,A-00cac8,S-138c41,2024-12-12,feature_2,15,4680,1,true
U-386be4,A-00cac8,S-138c41,2023-11-11,feature_9,9,3510,0,false
U-09feaf,A-00cac8,S-138c41,2023-11-22,feature_15,14,4914,0,false
U-86946d,A-00cac8,S-2e965d,2024-06-12,feature_8,7,1785,2,false
U-7f3a27,A-00cac8,S-2e965d,2023-12-02,feature_25,15,2190,0,false
U-34098b,A-00cac8,S-2e965d,2024-02-07,feature_16,6,1050,0,true
U-83b2cc,A-00cac8,S-4d1ba6,2024-02-14,feature_9,8,880,0,false
U-79848e,A-00cac8,S-4d1ba6,2024-05-15,feature_16,15,5715,0,false
U-deddfd,A-00cac8,S-4d1ba6,2024-07-14,feature_35,5,1545,0,false
U-cbd94d,A-00cac8,S-4d1ba6,2024-01-09,feature_16,7,3206,0,true
U-6f9d46,A-00cac8,S-761518,2024-10-11,feature_31,10,2240,0,false
U-cced51,A-00cac8,S-761518,2024-05-12,feature_39,14,462,3,false
U-8ea46c,A-00cac8,S-c0ca82,2023-11-16,feature_36,11,4422,0,false
U-044b82,A-00cac8,S-c0ca82,2024-01-04,feature_27,8,264,0,false
U-70bd0b,A-00cac8,S-c0ca82,2023-10-07,feature_24,10,1210,1,false
U-81e97a,A-00cac8,S-c46499,2023-11-29,feature_12,6,1944,0,false
U-9191e1,A-00cac8,S-c46499,2023-11-06,feature_22,17,5712,0,false
U-4db8e9,A-00cac8,S-c46499,2024-05-20,feature_35,15,3060,0,false
U-18a19e,A-00cac8,S-c46499,2024-01-30,feature_22,5,330,1,false
U-1c08fb,A-00cac8,S-c46499,2024-01-25,feature_18,10,1410,1,false
U-469b38,A-00cac8,S-c46499,2024-07-12,feature_11,10,4750,0,false
U-0351b2,A-00cac8,S-dcae52,2024-06-07,feature_37,6,714,0,false
U-0fdc8f,A-00cac8,S-ebfbbe,2024-04-06,feature_14,13,1508,0,false
U-fe5c6f,A-00cac8,S-ebfbbe,2024-01-29,feature_10,11,4235,0,false
U-1e8a95,A-00cac8,S-ebfbbe,2024-01-03,feature_39,8,2784,0,false
U-47dcc5,A-00cac8,S-ebfbbe,2024-06-23,feature_31,12,3516,2,false
U-f5abca,A-00cac8,S-ebfbbe,2024-02-04,feature_31,7,973,0,false
U-d7c093,A-00cac8,S-ebfbbe,2024-08-10,feature_21,12,6936,2,true
U-4ed20c,A-0158bb,S-3fe1c3,2024-08-14,feature_16,7,3556,0,false
U-4d6b3e,A-0158bb,S-3fe1c3,2024-07-30,feature_31,16,3584,1,false
U-5633aa,A-0158bb,S-66f0d0,2024-09-07,feature_15,10,5480,0,true
U-3696a1,A-0158bb,S-66f0d0,2024-12-03,feature_11,8,4144,0,false
U-603af5,A-0158bb,S-b12284,2024-11-27,feature_31,7,1463,0,false
U-f29716,A-0158bb,S-b12284,2024-09-20,feature_2,7,847,1,false
U-116cdb,A-0158bb,S-b12284,2024-12-28,feature_30,10,410,0,false
U-a91841,A-0158bb,S-ba69a4,2024-09-21,feature_18,7,1946,0,false
U-165259,A-0158bb,S-fb9972,2024-08-09,feature_12,12,1236,2,false
U-038d42,A-0158bb,S-fb9972,2024-09-18,feature_26,8,4632,0,false
U-3d260f,A-0158bb,S-fb9972,2024-06-04,feature_31,7,2324,0,false
U-9df0f3,A-016043,S-0abd10,2024-09-04,feature_40,12,1608,0,false
U-1b2ae0,A-016043,S-0e1d53,2024-12-31,feature_23,12,1572,0,false
U-5762c4,A-016043,S-2c52b6,2024-10-01,feature_39,10,630,0,false
U-1df9d4,A-016043,S-463525,2024-10-05,feature_14,13,364,0,false
U-203929,A-016043,S-463525,2024-10-20,feature_27,16,832,1,false
U-649cec,A-016043,S-d54349,2024-12-25,feature_33,12,3456,2,false
U-394896,A-019782,S-15662a,2024-12-16,feature_29,9,3096,3,false
U-f261ee,A-019782,S-15662a,2023-06-24,feature_11,5,305,0,false
U-9da92a,A-019782,S-2fd650,2024-03-10,feature_15,11,3201,0,false
U-4579ec,A-019782,S-2fd650,2023-07-14,feature_14,12,1056,1,false
U-c22ad5,A-019782,S-2fd650,2024-09-13,feature_10,9,1836,0,false
U-d6b70a,A-019782,S-2fd650,2024-09-24,feature_33,10,1500,0,false
