pk,account_id,account_status,plan_tier,previous_plan_tier,seats,mrr_amount,arr_amount,downgrade_flag,upgrade_flag,billing_frequency,auto_renew_flag,effective_start_date,effective_end_date,current_record_flag
S-6bab8f,A-eb7c38,trial,Enterprise,,13,0,0,false,false,annual,false,2024-04-11,2024-04-12,false
S-47a04b,A-b54c01,trial,Pro,,29,0,0,false,false,annual,true,2024-10-07,2024-10-28,false
S-f14c84,A-fa2041,trial,Basic,,18,0,0,false,false,monthly,true,2024-06-11,2024-06-16,false
S-ee3466,A-7d514c,trial,Enterprise,,17,0,0,false,false,monthly,true,2024-02-13,2024-03-20,false
S-ca0eb1,A-6e08f3,trial,Enterprise,,24,0,0,false,false,monthly,true,2023-07-25,2024-02-16,false
S-efeb9b,A-1f0636,trial,Basic,,105,0,0,false,false,annual,true,2024-02-27,2024-02-28,false
S-62fb8e,A-ef84cf,trial,Enterprise,,8,0,0,false,false,monthly,true,2024-03-12,2024-05-22,false
S-6c877e,A-712533,trial,Enterprise,,18,0,0,false,false,monthly,true,2023-08-13,2023-11-09,false
S-6643a2,A-331424,trial,Pro,,11,0,0,false,false,monthly,true,2024-01-04,2024-01-24,false
S-641794,A-fd9422,trial,Pro,,58,0,0,false,false,annual,true,2024-05-08,2024-05-09,false
S-f639fb,A-9f2731,trial,Pro,,27,0,0,false,false,monthly,true,2024-10-12,2024-10-22,false
S-332e0d,A-3b5cd1,trial,Pro,,13,0,0,false,false,monthly,true,2023-09-30,2023-10-07,false
S-8a4156,A-5a184f,trial,Pro,,19,0,0,false,false,annual,true,2023-08-31,2023-09-03,false
S-5901a1,A-7dacce,trial,Pro,,12,0,0,false,false,annual,true,2024-09-10,2024-09-10,false
S-2940a5,A-b2225d,trial,Enterprise,,47,0,0,false,false,annual,false,2024-04-02,2024-05-13,false
S-4bfe7b,A-9b9fe9,trial,Basic,,11,0,0,false,false,monthly,true,2023-10-16,2023-11-20,false
S-37a280,A-40906c,trial,Basic,,92,0,0,false,false,monthly,true,2024-05-28,2024-06-06,false
S-aa3a36,A-ccc747,trial,Enterprise,,16,0,0,false,false,monthly,false,2024-05-13,2024-06-24,false
S-3ae2dd,A-f45426,trial,Basic,,57,0,0,false,false,annual,true,2024-08-05,2024-08-09,false
S-2dbf26,A-dfbd31,trial,Pro,,14,0,0,false,false,annual,true,2023-12-10,2023-12-31,false
S-8f4f5b,A-7f6b86,trial,Pro,,45,0,0,false,false,annual,true,2023-08-30,2023-10-15,false
