signup_month,month_number,total_accounts,usage_activated,running_usage_activated,usage_activated_rate
2023-01-01,0,2,1,1,0.5
2023-01-01,2,2,1,2,1.0
2023-02-01,0,8,4,4,0.5
2023-02-01,1,8,4,8,1.0
2023-03-01,0,11,6,6,0.55
2023-03-01,1,11,5,11,1.0
2023-04-01,0,15,10,10,0.67
2023-04-01,1,15,3,13,0.87
2023-04-01,2,15,1,14,0.93
2023-04-01,4,15,1,15,1.0
2023-05-01,0,14,8,8,0.57
2023-05-01,1,14,2,10,0.71
2023-05-01,2,14,4,14,1.0
2023-06-01,0,21,13,13,0.62
2023-06-01,1,21,7,20,0.95
2023-06-01,2,21,1,21,1.0
2023-07-01,0,18,13,13,0.72
2023-07-01,1,18,4,17,0.94
2023-07-01,2,18,1,18,1.0
2023-08-01,0,27,13,13,0.48
2023-08-01,1,27,10,23,0.85
2023-08-01,2,27,3,26,0.96
2023-08-01,3,27,1,27,1.0
2023-09-01,0,15,7,7,0.47
2023-09-01,1,15,7,14,0.93
2023-09-01,2,15,1,15,1.0
2023-10-01,0,18,10,10,0.56
2023-10-01,1,18,7,17,0.94
2023-10-01,2,18,1,18,1.0
2023-11-01,0,22,12,12,0.55
2023-11-01,1,22,9,21,0.95
2023-11-01,2,22,1,22,1.0
2023-12-01,0,20,13,13,0.65
2023-12-01,1,20,6,19,0.95
2023-12-01,2,20,1,20,1.0
2024-01-01,0,26,14,14,0.54
2024-01-01,1,26,10,24,0.92
2024-01-01,2,26,1,25,0.96
2024-01-01,3,26,1,26,1.0
2024-02-01,0,18,11,11,0.61
2024-02-01,1,18,7,18,1.0
2024-03-01,0,25,12,12,0.48
2024-03-01,1,25,11,23,0.92
2024-03-01,2,25,2,25,1.0
2024-04-01,0,22,15,15,0.68
2024-04-01,1,22,6,21,0.95
2024-04-01,2,22,1,22,1.0
2024-05-01,0,28,17,17,0.61
2024-05-01,1,28,10,27,0.96
2024-05-01,2,28,1,28,1.0
2024-06-01,0,27,14,14,0.52
2024-06-01,1,27,10,24,0.89
2024-06-01,2,27,2,26,0.96
2024-06-01,3,27,1,27,1.0
2024-07-01,0,28,15,15,0.54
2024-07-01,1,28,10,25,0.89
2024-07-01,2,28,2,27,0.96
2024-07-01,3,28,1,28,1.0
2024-08-01,0,20,8,8,0.4
2024-08-01,1,20,9,17,0.85
2024-08-01,2,20,3,20,1.0
2024-09-01,0,31,14,14,0.45
2024-09-01,1,31,12,26,0.84
2024-09-01,2,31,5,31,1.0
2024-10-01,0,23,11,11,0.48
2024-10-01,1,23,9,20,0.87
2024-10-01,2,23,1,21,0.91
2024-11-01,0,36,22,22,0.61
2024-11-01,1,36,11,33,0.92
2024-12-01,0,25,14,14,0.56
