signup_month,month_number,total_accounts,usage_churn,usage_churn_rate
2023-11-01,0,22,10,0.45
2023-11-01,1,22,2,0.09
2023-11-01,2,22,4,0.18
2023-11-01,3,22,3,0.14
2023-11-01,4,22,4,0.18
2023-11-01,5,22,5,0.23
2023-11-01,6,22,3,0.14
2023-11-01,7,22,4,0.18
2023-11-01,8,22,5,0.23
2023-11-01,9,22,2,0.09
2023-11-01,10,22,4,0.18
2023-11-01,11,22,0,0.0
2023-11-01,12,22,2,0.09
2023-11-01,13,22,1,0.05
2023-09-01,0,15,8,0.53
2023-09-01,1,15,2,0.13
2023-09-01,2,15,1,0.07
2023-09-01,3,15,0,0.0
2023-09-01,4,15,0,0.0
2023-09-01,5,15,0,0.0
2023-09-01,6,15,0,0.0
2023-09-01,7,15,3,0.2
2023-09-01,8,15,2,0.13
2023-09-01,9,15,2,0.13
2023-09-01,10,15,1,0.07
2023-09-01,11,15,2,0.13
2023-09-01,12,15,1,0.07
2023-09-01,13,15,0,0.0
2023-09-01,14,15,2,0.13
2023-09-01,15,15,0,0.0
2024-05-01,0,28,11,0.39
2024-05-01,1,28,5,0.18
2024-05-01,2,28,4,0.14
2024-05-01,3,28,4,0.14
2024-05-01,4,28,4,0.14
2024-05-01,5,28,5,0.18
2024-05-01,6,28,6,0.21
2024-05-01,7,28,5,0.18
2024-08-01,0,20,12,0.6
2024-08-01,1,20,3,0.15
2024-08-01,2,20,4,0.2
2024-08-01,3,20,4,0.2
2024-08-01,4,20,6,0.3
2023-06-01,0,21,8,0.38
2023-06-01,1,21,1,0.05
2023-06-01,2,21,1,0.05
2023-06-01,3,21,4,0.19
2023-06-01,4,21,4,0.19
2023-06-01,5,21,6,0.29
2023-06-01,6,21,5,0.24
2023-06-01,7,21,2,0.1
2023-06-01,8,21,3,0.14
2023-06-01,9,21,4,0.19
2023-06-01,10,21,5,0.24
2023-06-01,11,21,1,0.05
2023-06-01,12,21,2,0.1
2023-06-01,13,21,3,0.14
2023-06-01,14,21,4,0.19
2023-06-01,15,21,2,0.1
2023-06-01,16,21,1,0.05
2023-06-01,17,21,5,0.24
2023-06-01,18,21,1,0.05
2024-03-01,0,25,13,0.52
2024-03-01,1,25,6,0.24
2024-03-01,2,25,1,0.04
2024-03-01,3,25,2,0.08
2024-03-01,4,25,2,0.08
2024-03-01,5,25,3,0.12
2024-03-01,6,25,5,0.2
2024-03-01,7,25,5,0.2
2024-03-01,8,25,1,0.04
2024-03-01,9,25,3,0.12
2023-10-01,0,18,8,0.44
2023-10-01,1,18,2,0.11
2023-10-01,2,18,5,0.28
2023-10-01,3,18,3,0.17
2023-10-01,4,18,1,0.06
2023-10-01,5,18,1,0.06
2023-10-01,6,18,0,0.0
2023-10-01,7,18,1,0.06
2023-10-01,8,18,0,0.0
2023-10-01,9,18,4,0.22
2023-10-01,10,18,4,0.22
2023-10-01,11,18,2,0.11
2023-10-01,12,18,3,0.17
