reporting_month,account_id,account_status,plan_tier,mrr_amount,usage_flag
2023-11-01,A-00bed1,active,Basic,1159,true
2023-12-01,A-00bed1,active,Basic,1159,true
2024-01-01,A-00bed1,active,Basic,1159,true
2024-02-01,A-00bed1,active,Basic,1159,true
2024-03-01,A-00bed1,active,Basic,1159,true
2024-04-01,A-00bed1,active,Pro,1372,true
2024-05-01,A-00bed1,active,Enterprise,9751,true
2024-06-01,A-00bed1,active,Enterprise,9751,true
2024-07-01,A-00bed1,active,Pro,1372,true
2024-08-01,A-00bed1,active,Enterprise,1764,true
2024-09-01,A-00bed1,active,Enterprise,5572,true
2024-10-01,A-00bed1,active,Enterprise,5572,true
2024-11-01,A-00bed1,active,Enterprise,5572,true
2024-12-01,A-00bed1,active,Enterprise,5572,true
2023-09-01,A-00cac8,active,Pro,392,false
2023-10-01,A-00cac8,active,Pro,392,true
2023-11-01,A-00cac8,active,Pro,392,true
2023-12-01,A-00cac8,active,Basic,361,true
2024-01-01,A-00cac8,active,Basic,361,true
2024-02-01,A-00cac8,active,Basic,361,true
2024-03-01,A-00cac8,active,Basic,152,true
2024-04-01,A-00cac8,active,Enterprise,152,true
2024-05-01,A-00cac8,active,Enterprise,152,true
2024-06-01,A-00cac8,active,Enterprise,152,true
2024-07-01,A-00cac8,active,Enterprise,152,true
2024-08-01,A-00cac8,active,Enterprise,7761,true
2024-09-01,A-00cac8,active,Pro,392,true
2024-10-01,A-00cac8,active,Enterprise,3980,true
2024-11-01,A-00cac8,active,Enterprise,3980,false
2024-12-01,A-00cac8,active,Pro,931,true
2024-05-01,A-0158bb,trial,Basic,0,false
2024-06-01,A-0158bb,active,Basic,171,true
2024-07-01,A-0158bb,active,Basic,171,true
2024-08-01,A-0158bb,active,Basic,171,true
2024-09-01,A-0158bb,active,Basic,171,true
2024-10-01,A-0158bb,active,Enterprise,171,false
2024-11-01,A-0158bb,active,Enterprise,171,true
2024-12-01,A-0158bb,active,Pro,2205,true
2024-08-01,A-016043,active,Basic,114,false
2024-09-01,A-016043,active,Enterprise,3980,true
2024-10-01,A-016043,active,Pro,1323,true
2024-11-01,A-016043,active,Basic,209,false
2024-12-01,A-016043,active,Enterprise,2587,true
2023-06-01,A-019782,active,Pro,833,true
2023-07-01,A-019782,active,Pro,833,true
2023-08-01,A-019782,active,Enterprise,2587,true
2023-09-01,A-019782,active,Enterprise,2587,false
2023-10-01,A-019782,active,Basic,209,true
2023-11-01,A-019782,active,Basic,209,true
2023-12-01,A-019782,active,Basic,209,false
2024-01-01,A-019782,active,Basic,209,true
2024-02-01,A-019782,active,Basic,209,true
2024-03-01,A-019782,active,Basic,209,true
2024-04-01,A-019782,active,Basic,209,true
2024-05-01,A-019782,active,Pro,539,true
2024-06-01,A-019782,active,Basic,266,true
2024-07-01,A-019782,active,Basic,266,true
2024-08-01,A-019782,active,Basic,266,true
2024-09-01,A-019782,active,Basic,266,true
2024-10-01,A-019782,active,Basic,266,true
2024-11-01,A-019782,active,Basic,266,true
2024-12-01,A-019782,active,Enterprise,266,true
2024-05-01,A-029f69,active,Enterprise,4776,true
2024-06-01,A-029f69,active,Enterprise,4776,true
2024-07-01,A-029f69,active,Enterprise,4776,true
2024-08-01,A-029f69,active,Enterprise,597,true
2024-09-01,A-029f69,active,Basic,285,true
2024-10-01,A-029f69,active,Pro,285,true
2024-11-01,A-029f69,active,Pro,147,true
2024-12-01,A-029f69,active,Basic,646,true
2024-03-01,A-02cd81,active,Basic,836,false
2024-04-01,A-02cd81,trial,Basic,0,true
2024-05-01,A-02cd81,active,Enterprise,8756,true
2024-06-01,A-02cd81,active,Pro,2156,true
2024-07-01,A-02cd81,active,Pro,2156,true
2024-08-01,A-02cd81,active,Basic,836,true
2024-09-01,A-02cd81,active,Basic,836,true
2024-10-01,A-02cd81,active,Basic,836,true
2024-11-01,A-02cd81,active,Basic,836,true
2024-12-01,A-02cd81,active,Pro,2156,true
2023-10-01,A-02fac6,active,Pro,1078,true
2023-11-01,A-02fac6,active,Enterprise,4378,true
2023-12-01,A-02fac6,active,Enterprise,4378,true
2024-01-01,A-02fac6,active,Pro,1078,true
2024-02-01,A-02fac6,active,Pro,1078,true
2024-03-01,A-02fac6,active,Pro,1078,true
2024-04-01,A-02fac6,active,Pro,1078,true
2024-05-01,A-02fac6,active,Pro,2891,true
2024-06-01,A-02fac6,active,Pro,2891,true
2024-07-01,A-02fac6,active,Pro,2891,true
2024-08-01,A-02fac6,active,Pro,2891,true
2024-09-01,A-02fac6,active,Basic,418,false
